"Dashboard", "Dashboard"
"Help & Support", "Hilfe & Support"
"CleverReach® ID: %1", "CleverReach® Kundennummer: %1"
"An error occurred!", "Es ist ein Fehler aufgetreten!"
"Error description:", "Fehlerbeschreibung:"
"For more details please contact", "Für weitere Informationen kontaktieren Sie bitte"
"Retry synchronization now", "Wiederholen Sie die Datenübertragung"
"https://www.cleverreach.com/en/features/privacy-security/eu-general-data-protection-regulation-gdpr/", "https://www.cleverreach.com/de/funktionen/datenschutz-sicherheit/eu-dsgvo/"
"Import was successful!", "Der Import war erfolgreich!"
"Recipients", "Empfänger"
"Recipient list", "Empfängerliste"
"Segments", "Segmente"
"Observe notes on GDPR!", "Beachten Sie die Hinweise zur DSGVO!"
"Targeted email marketing for more revenue!", "Gezieltes E-Mail Marketing für mehr Umsatz!"
"Targeted email marketing for more revenue in your %1 shop", "Gezieltes E-Mail Marketing für mehr Umsatz in Ihrem %1 Shop."
"Create appealing emails to showcase your products to your customers", "Erstellen Sie ansprechende Mailings und präsentieren Sie Ihren Kunden Ihre Produkte."
"Create your first newsletter →", "Erstellen Sie Ihren ersten Newsletter →"
"Create your next newsletter now! →", "Erstellen Sie jetzt Ihren nächsten Newsletter! →"
"Welcome to clever Email Marketing!", "Willkommen - los geht's mit cleverem E-Mail Marketing"
"Simply transmit Magento data and get started with CleverReach® for free!", "Einfach Shopware-Daten übertragen und kostenfrei mit CleverReach® starten!"
"Create and connect your new CleverReach® account now!", "Jetzt neuen CleverReach® Account erstellen & verbinden!"
"Log in and connect with an existing CleverReach® account", "Mit meinem bestehenden CleverReach® Account einloggen & verbinden"
"Connecting...", "Verbindung wird hergestellt..."
"Create recipient list in CleverReach®", "Empfängerliste in CleverReach® erstellen"
"Add data fields, segments and tags to recipient list", "Datenfelder, Segmente und Tags zur Empfängerliste hinzufügen"
"Import recipients from %s to CleverReach®", "Importieren Sie Empfänger von %s zu CleverReach®"
"Well done!", "Gut gemacht!"
"%s recipients have been successfully added to the list %s in your CleverReach® account.", "%s Empfänger wurden erfolgreich zur Liste %s in Ihrem CleverReach® Account hinzugefügt."
"You will be directed to your plugin dashboard in ... %d sec.", "Sie werden in %d Sek. zu Ihrem Plugin Dashboard weitergeleitet..."
"Auto configuring...", "Autokonfiguration läuft..."
"Auto configuration failed.", "Autokonfiguration fehlgeschlagen."
"Retry auto configuration now", "Autokonfiguration wiederholen"
"hello", "hallo"
"Error: token expired", "Fehler: Token abgelaufen"
"It seems that it was a long time since any event happened inside your Magento and CleverReach® access token expired. In order to let system synchronize data for you, you'll have to authenticate again with CleverReach® <b>ID %1</b>. If you want to use different CleverReach® account, you need to reinstall this extension.", "Es scheint eine Weile her zu sein, dass Aktivitäten in Ihrem Magento stattgefunden haben. Ihr CleverReach® Zugriffstoken ist abgelaufen. Damit das System die Daten für Sie synchronisieren kann, müssen Sie sich erneut authentifizieren mit CleverReach® <b>Kundennummer %1</b>."
"Authenticate now", "Jetzt authentifizieren"
