"Dashboard", "Dashboard"
"Help & Support", "Help & Support"
"CleverReach® ID: %1", "CleverReach® ID: %1"
"An error occurred!", "An error occurred!"
"Error description:", "Error description:"
"For more details please contact", "For more details please contact"
"Retry synchronization now", "Retry synchronization now"
"Import was successful!", "Import was successful!"
"Recipients", "Recipients"
"Recipient list", "Recipient list"
"Segments", "Segments"
"https://www.cleverreach.com/en/features/privacy-security/eu-general-data-protection-regulation-gdpr/", "https://www.cleverreach.com/en/features/privacy-security/eu-general-data-protection-regulation-gdpr/"
"Observe notes on GDPR!", "Observe notes on GDPR!"
"Targeted email marketing for more revenue!", "Targeted email marketing for more revenue!"
"Targeted email marketing for more revenue in your %1 shop", "Targeted email marketing for more revenue in your %1 shop."
"Create appealing emails to showcase your products to your customers", "Create appealing emails to showcase your products to your customers."
"Create your first newsletter →", "Create your first newsletter →"
"Create your next newsletter now! →", "Create your next newsletter now! →"
"Welcome to clever Email Marketing!", "Welcome to clever Email Marketing!"
"Simply transmit Magento data and get started with CleverReach® for free!", "Simply transmit Magento data and get started with CleverReach® for free!"
"Create and connect your new CleverReach® account now!", "Create and connect your new CleverReach® account now!"
"Log in and connect with an existing CleverReach® account", "Log in and connect with an existing CleverReach® account"
"Connecting...", "Connecting..."
"Create recipient list in CleverReach®", "Create recipient list in CleverReach®"
"Add data fields, segments and tags to recipient list", "Add data fields, segments and tags to recipient list"
"Import recipients from %s to CleverReach®", "Import recipients from %s to CleverReach®"
"Well done!", "Well done!"
"%s recipients have been successfully added to the list %s in your CleverReach® account.", "%s recipients have been successfully added to the list %s in your CleverReach® account."
"You will be directed to your plugin dashboard in ... %d sec.", "You will be directed to your plugin dashboard in ... %d sec."
"Auto configuring...", "Auto configuring..."
"Auto configuration failed.", "Auto configuration failed."
"Retry auto configuration now", "Retry auto configuration now"
"hello", "hello"
"Error: token expired", "Error: token expired"
"It seems that it was a long time since any event happened inside your Magento and CleverReach® access token expired. In order to let system synchronize data for you, you'll have to authenticate again with CleverReach® <b>ID %1</b>. If you want to use different CleverReach® account, you need to reinstall this extension.", "It seems that it was a long time since any event happened inside your Magento and CleverReach® access token expired. In order to let system synchronize data for you, you'll have to authenticate again with CleverReach® <b>ID %1</b>. If you want to use different CleverReach® account, you need to reinstall this extension."
"Authenticate now", "Authenticate now"
